path,git_state_at_2026_07_14_snapshot,classification,reason,risk_level,founder_review_required
.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
.editorconfig,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
.env.example,TRACKED_UNCHANGED_SECURITY_REVIEW,TRACK_CONFIGURATION_TEMPLATE,Tracked environment example; sensitive keys contain placeholders and no real secret value was detected.,LOW,false
.gitattributes,MODIFIED_TRACKED,TRACK_CONFIGURATION_TEMPLATE,Repository-wide Git hygiene and normalization metadata.,LOW,false
.github/.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
.github/ISSUE_TEMPLATE/bug_report.yml,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
.github/pull_request_template.md,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
.github/workflows/ci.yml,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
.gitignore,MODIFIED_TRACKED,TRACK_CONFIGURATION_TEMPLATE,Repository-wide Git hygiene and normalization metadata.,LOW,false
AGENTS.md,UNTRACKED,TRACK_CANONICAL,Canonical Codex repository instruction file.,LOW,false
CODEOWNERS,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
CONTRIBUTING.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
Makefile,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
README.md,MODIFIED_TRACKED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
SECURITY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
assets/.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
assets/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/brand/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/documents/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/fonts/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/images/optimized/.gitkeep,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/images/source/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
composer.json,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
config/README.md,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/environments/development.env.example,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/environments/production.env.example,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/environments/staging.env.example,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/nginx/site.conf.template,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/php/php.ini.template,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/wordpress/wp-config.example.php,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
docs/.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
docs/00_PROJECT_BIBLE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/01_PROJECT_CONSTITUTION.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/02_ARCHITECTURE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/03_BUSINESS_RULES.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/04_PRODUCT_DATA_STRATEGY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/05_TECH_STACK.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/06_WORDPRESS_ARCHITECTURE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/07_REPOSITORY_GUIDE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/08_DEVELOPMENT_WORKFLOW.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/08_DOCUMENTATION_INDEX.md,MODIFIED_TRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/09_DEPLOYMENT.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/09_NAVIGATION_MAP.md,MODIFIED_TRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/10_DECISION_LOG.md,MODIFIED_TRACKED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/10_SECURITY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/11_GLOSSARY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/11_SEO_STRATEGY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/12_DOCUMENT_LIFECYCLE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/12_UX_PRINCIPLES.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/13_DOCUMENT_TEMPLATE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/13_TESTING_STRATEGY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/14_CHANGELOG.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/14_CHANGELOG_POLICY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/15_REVIEW_PROCESS.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/16_QUALITY_STANDARD.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/17_FOUNDER_DECISION_LOG.md,MODIFIED_TRACKED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/18_OPEN_QUESTIONS.md,MODIFIED_TRACKED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/19_PRODUCT_DATA_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/20_WOOCOMMERCE_PRODUCT_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/21_PRODUCT_TAXONOMY_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/22_PRODUCT_ATTRIBUTE_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/23_INQUIRY_DATA_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/24_INFORMATION_ARCHITECTURE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/25_SITE_STRUCTURE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/26_URL_ARCHITECTURE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/27_SEARCH_AND_DISCOVERY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/28_INTERNAL_LINKING_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/29_CONTENT_ARCHITECTURE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/30_ENTITY_RELATIONSHIP_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/31_SCHEMA_ORG_STRATEGY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/32_CONTENT_TYPES.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/33_MEDIA_STRATEGY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/34_SEO_ENTITY_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/35_WORDPRESS_BLUEPRINT.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/36_BLOCKSY_CONFIGURATION.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/37_ELEMENTOR_ARCHITECTURE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/38_WOOCOMMERCE_CONFIGURATION.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/39_CUSTOM_POST_TYPES.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/40_TAXONOMY_IMPLEMENTATION.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/41_CUSTOM_FIELDS_MODEL.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/42_INQUIRY_WORKFLOW.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/43_USER_ROLES.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/44_PLUGIN_RESPONSIBILITY_MATRIX.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/45_REMOTE_ACCESS_ARCHITECTURE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AI_COLLABORATION.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH01.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH02.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH02A.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH02B.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH02C.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH03.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH04.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH05.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH05A.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH05B.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH06.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH07.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_BATCH08.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_FREEZE_v1.0.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_GIT02S.md,UNTRACKED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_GOV01.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT01A.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT01B.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT01C.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT01D.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT02A.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT02B.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT02C.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT03A.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT03B.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT03C.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT03D.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT03E.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT04A.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT04B.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT04B_AUTHENTICATED.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT04C.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT05A.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT06A.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT07A.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT08A.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT08B.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT08B5.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT08B6.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT08C.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT08D1.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT08D1R.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT09A.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT09B.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT09B_R.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT09C.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT09D.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT09E.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT10R.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT11.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/AUDIT_REPORT_SPRINT12A.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/BACKUP_RESTORE_PROOF_CHECKLIST.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/BASELINE_v1.0.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/CODEX_SPRINT_PROTOCOL.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/CURRENT_PROJECT_STATE.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/ENGINEERING_GUIDELINES.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/EXECUTION_GATES.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/FOUNDER_RUNTIME_APPROVAL_CHECKLIST.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/GETTING_STARTED.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
docs/GIT_BASELINE_APPROVAL_CHECKLIST.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/GIT_BASELINE_AUDIT.md,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/GIT_BASELINE_COMMIT_REPORT.md,UNTRACKED,TRACK_DOCUMENTATION,Sprint GIT-02 commit evidence explicitly required and approved by the current Founder task.,LOW,false
docs/GIT_EOF_NORMALIZATION_REPORT.md,UNTRACKED,TRACK_DOCUMENTATION,Sprint GIT-02R formatting-only correction evidence explicitly required by the current Founder task.,LOW,false
docs/GIT_FILE_CLASSIFICATION.csv,UNTRACKED,TRACK_DOCUMENTATION,"Project governance, audit, readiness, or review documentation.",LOW,false
docs/GIT_GOVERNANCE.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
